country_of_origin,company,farm_name,total_cup_points
Mexico,indigenas de la sierra madre de motozintla san isidro labrador s. de s.s.,NA,82.08
Mexico,NA,bola de oro,82.08
Mexico,NA,tomatlancillo,82.08
Colombia,NA,NA,82.08
Brazil,ipanema coffees,capoeirinha,82
Taiwan,"red on tree co., ltd.","you siang coffee farmtainan, taiwan 台灣台南優香咖啡",82
Colombia,racafe & cia s.c.a,NA,82
Taiwan,"red on tree co., ltd.",gao chun fang 高醇坊,82
Brazil,café do paraíso,café do paraíso,82
Mexico,NA,la ceiba,82
Brazil,nucoffee,campo das flores,82
Brazil,nucoffee,são josé da lagoa,82
Guatemala,"elfasa, s.a.",el faro,82
Brazil,nucoffee,santa mariana/são vicente,82
Guatemala,coffee resources inc.,conquista / morito,82
Colombia,NA,NA,82
Guatemala,"unex guatemala, s.a.",la esperanza,81.92
Guatemala,"unex guatemala, s.a.",las delicias,81.92
Brazil,volcafe ltda.,santa bárbara,81.92
Guatemala,asociación nacional del café - anacafe -,las cebollas y anexos,81.92
Taiwan,blossom valley宸嶧國際,dragon coffee 龍咖啡,81.92
Mexico,"finca triunfo verde, s.c.",various,81.92
Mexico,NA,platanal,81.92
Mexico,NA,texpanco,81.92
Mexico,NA,la laja,81.92
Mexico,NA,mata larga,81.92
Brazil,nucoffee,sitío corrego da olaria/são caetano,81.92
Colombia,NA,NA,81.92
Guatemala,"unex guatemala, s.a.",la esmeralda,81.83
Brazil,volcafe ltda.,helena,81.83
Guatemala,"unex guatemala, s.a.",chapultepec,81.83
Brazil,ipanema coffees,rio verde,81.83
Brazil,ipanema coffees,rio verde,81.83
Mexico,agroindustrias unidas de mexico sa de cv,rancho bonito,81.83
Taiwan,taiwan coffee laboratory,gao chun fang 高醇坊,81.83
Brazil,ipanema coffees,rio verde,81.83
Mexico,globus coffee,various,81.83
Colombia,racafe & cia s.c.a,NA,81.83
Brazil,exportadora de cafés carmo de minas ltda,sertao farm,81.83
Guatemala,"unex guatemala, s.a.",el sacramento,81.83
Mexico,NA,finca muxbal,81.83
Mexico,NA,el deseo,81.83
Brazil,NA,cianorte,81.83
Colombia,NA,NA,81.83
Guatemala,"unex guatemala, s.a.",las merceditas,81.75
Brazil,cafe politico,NA,81.75
Mexico,NA,los magueyes,81.75
Mexico,NA,finca tepictla,81.75
Mexico,NA,"arroyo triste, arroyo triste, san jose vista hermosa",81.75
Mexico,beneficio custepec s.a. de c.v.,NA,81.75
Mexico,finca las nubes,santa cruz - pante doña graciela,81.75
Colombia,exportadora de cafe condor s.a,NA,81.75
Colombia,NA,NA,81.75
